Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ribosome biogenesis (GO:0042254),28/192,3.35E-22,5.09E-19,0,0,15.48599819,765.7301866,DDX27;NIP7;FCF1;NOLC1;NOL8;NOC4L;NOC2L;RPF2;SDAD1;WDR46;RRP9;EXOSC9;RRS1;UTP20;RIOK1;MDN1;PELP1;WDR36;UTP6;NOP16;WDR74;RRP1B;WDR12;UTP18;WDR55;BOP1;DHX29;NOL11
rRNA processing (GO:0006364),23/173,1.69E-17,1.29E-14,0,0,13.60295626,525.3077249,WDR36;UTP6;DDX27;FCF1;WDR74;NOLC1;NOL8;NOC4L;THUMPD1;RRP1B;WDR12;WDR46;UTP18;RRP9;WDR55;BOP1;ERI1;EXOSC9;UTP20;NOL11;RIOK1;MDN1;PELP1
rRNA metabolic process (GO:0016072),20/162,9.85E-15,4.99E-12,0,0,12.33274648,397.7439916,WDR36;UTP6;DDX27;FCF1;WDR74;NOLC1;NOL8;NOC4L;RRP1B;WDR12;WDR46;UTP18;RRP9;WDR55;BOP1;EXOSC9;UTP20;NOL11;MDN1;PELP1
ncRNA processing (GO:0034470),20/201,6.19E-13,2.35E-10,0,0,9.656176006,271.4477484,WDR36;UTP6;DDX27;FCF1;WDR74;NOLC1;NOL8;NOC4L;RRP1B;WDR12;WDR46;UTP18;RRP9;WDR55;BOP1;EXOSC9;UTP20;NOL11;MDN1;PELP1
ribosomal large subunit biogenesis (GO:0042273),11/57,8.00E-11,2.43E-08,0,0,20.22858742,470.2859568,BOP1;NOP16;NIP7;WDR74;RRS1;NOC2L;RPF2;SDAD1;WDR12;RSL24D1;MDN1
ribonucleoprotein complex biogenesis (GO:0022613),10/60,2.68E-09,6.79E-07,0,0,16.84273504,332.4138074,BOP1;NOP16;NIP7;WDR74;RRS1;RIOK1;NOC2L;RPF2;SDAD1;WDR12
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",22-Jul,5.38E-09,1.17E-06,0,0,38.87116737,740.0959123,ERI1;EXOSC9;RRS1;UTP20;WDR12;NOP9;FTSJ3
ribonucleoprotein complex assembly (GO:0022618),12/136,1.11E-07,2.10E-05,0,0,8.189098999,131.1592409,PRMT5;BOP1;PRMT7;DDX23;RRS1;SMN1;DHX29;SNRNP200;RPF2;RSL24D1;MDN1;WDR77
protein localization to nucleolus (GO:1902570),06-Apr,3.18E-07,5.36E-05,0,0,164.6166667,2462.835879,PINX1;RRS1;NOL8;RPF2
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",14-May,4.75E-07,7.21E-05,0,0,45.90190609,668.3566658,BOP1;ZNHIT6;RPF2;WDR12;FTSJ3
mRNA modification (GO:0016556),22-May,5.77E-06,7.81E-04,0,0,24.29116416,293.0397016,NSUN2;PUS1;TRMT6;PUS7;METTL16
spliceosomal snRNP assembly (GO:0000387),6/38,6.17E-06,7.81E-04,0,0,15.53886555,186.3959748,PRMT5;PRMT7;USP4;PRPF3;SMN1;WDR77
ribosomal large subunit assembly (GO:0000027),25-May,1.13E-05,0.001265566,0,0,20.64435146,235.1730539,BOP1;RRS1;RPF2;RSL24D1;MDN1
