Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006396~RNA processing	143	11.44	8.902303998563602E-33	POP5, POP7, RPP30, FMR1, EIF4A3, RRP1, FCF1, PNN, FBL, ARL6IP4, MAP2K2, SCAF11, IMP3, PIH1D1, NGDN, IMP4, PRPF4B, THOC3, UTP11L, THOC2, WBP11, CDC40, GTPBP4, EBNA1BP2, RBMXL1, DKC1, RPL7L1, CLNS1A, MRTO4, XRN2, NHP2, RPP21, SBDS, SNRNP27, PPIE, PPIH, SRSF4, SNRNP25, SNRPA, SF1, DHX9, YTHDC1, DDX1, UBA5, OSGEP, RPF1, RRP7A, ERI1, ZMAT5, GAR1, WBSCR22, RRS1, SMN1, ZC3H14, PRPF38B, ZRANB2, CPSF6, PRPF38A, ALYREF, LSM1, LARP7, PA2G4, MAGOHB, SRPK1, HNRNPL, LSM7, SNW1, MPHOSPH10, RNPS1, DUS1L, GRSF1, ISY1, RBM28, DDX46, DDX47, MRPS11, PSIP1, DDX41, PRPF19, PQBP1, SART1, PTBP1, SYNCRIP, SNRNP70, C1QBP, DHX15, RBM7, RRP15, NCBP1, NCBP2, NSUN2, DDX54, PAPD4, PRPF40A, UTP18, MRPL44, MRPS9, NSA2, THRAP3, HNRNPH1, LUC7L3, SNRPA1, RBM22, SF3B4, WBP4, SRSF1, SRRT, DDX21, LAGE3, EXOSC7, EXOSC6, EXOSC5, FIP1L1, PUF60, PABPN1, U2AF2, EXOSC8, TRA2A, POLR2D, SNRPB2, RBBP6, EXOSC3, SRSF10, DCPS, SMNDC1, EXOSC1, RNF20, SF3A3, NOP56, RBM38, DDX39, NOP58, WTAP, UTP3, CDC5L, NPM3, RSL1D1, SNRNP40, ACIN1, RBM42, AGGF1, PRPF31, TARDBP	1129	765	17911	2.9655175208554043	5.981458056634884E-29	5.981458056634884E-29	5.711718245478407E-29
GOTERM_BP_FAT	GO:0016071~mRNA metabolic process	105	8.4	3.103738395144144E-26	FMR1, EIF4A3, HNRNPR, PNN, ARL6IP4, SCAF11, PRPF4B, THOC3, THOC2, WBP11, CDC40, RBMXL1, DKC1, CLNS1A, MRTO4, XRN2, DNAJB11, SNRNP27, PPIE, PPIH, SRSF4, SNRNP25, SNRPA, SF1, YTHDC1, DDX1, GSPT1, ZFP36L2, ZMAT5, SMN1, ZC3H14, PRPF38B, ZRANB2, CPSF6, PRPF38A, ALYREF, LSM1, MAGOHB, SRPK1, HNRNPL, LSM7, SNW1, RNPS1, GRSF1, ISY1, RBM28, DDX46, DDX47, PSIP1, DDX41, PRPF19, PQBP1, SART1, PTBP1, SYNCRIP, SNRNP70, C1QBP, DHX15, RBM7, NCBP1, NCBP2, PAPD4, PRPF40A, SLTM, THRAP3, HNRNPH1, CSDE1, LUC7L3, ETF1, SNRPA1, DCP2, RBM22, SF3B4, WBP4, SRSF1, EXOSC7, EXOSC6, EXOSC5, FIP1L1, PUF60, PABPN1, U2AF2, EXOSC8, TRA2A, POLR2D, SNRPB2, RBBP6, EXOSC3, SRSF10, DCPS, SMNDC1, RNF20, SF3A3, RBM38, DDX39, WTAP, CDC5L, PNRC2, SNRNP40, ACIN1, RBM42, AGGF1, PRPF31, TARDBP, TNRC6A	1129	528	17911	3.1548685481922862	2.0854018276973505E-22	1.0427009138486753E-22	9.956792771622415E-23
GOTERM_BP_FAT	GO:0022613~ribonucleoprotein complex biogenesis	88	7.04	6.156772935560313E-24	ISY1, POP5, DDX47, MRPS11, EIF4A3, RRP1, FCF1, PSIP1, MRPL36, PRPF19, PQBP1, SART1, FBL, XPO1, RUVBL2, C1QBP, RUVBL1, DENR, RRP15, EIF2A, SCAF11, IMP3, PIH1D1, NGDN, IMP4, UTP11L, WBP11, MRPS7, UTP18, CDC40, GTPBP4, GNL3, ATXN2L, MRPS9, NSA2, EBNA1BP2, RBMXL1, DKC1, RPL7L1, CLNS1A, MRTO4, SBDS, NHP2, LUC7L3, RBM22, DDX6, CDC123, YTHDC1, NIP7, SRSF1, DDX21, MRPL10, RPF1, MRPL11, EXOSC7, RRP7A, EXOSC6, EXOSC5, ERI1, EXOSC8, POLR2D, RRS1, GAR1, WBSCR22, EIF2S3X, SMN1, EXOSC3, SRSF10, AAMP, EXOSC1, EIF4B, MCTS1, NOP56, NOP58, UTP3, PA2G4, RPL34-PS1, NPM3, PUM2, RSL1D1, EIF3L, EIF3G, MPHOSPH10, PRPF31, ABCE1, EIF3D, RSL24D1, EIF3B	1129	416	17911	3.355948082033113	4.136735735402974E-20	1.3789119118009913E-20	1.316728505151832E-20
GOTERM_BP_FAT	GO:0006397~mRNA processing	88	7.04	1.7184208079088914E-23	ISY1, RBM28, DDX46, DDX47, FMR1, EIF4A3, PSIP1, DDX41, PRPF19, PQBP1, SART1, PNN, PTBP1, SYNCRIP, SNRNP70, C1QBP, DHX15, ARL6IP4, RBM7, NCBP1, SCAF11, NCBP2, PAPD4, PRPF40A, PRPF4B, THOC3, THOC2, WBP11, CDC40, RBMXL1, HNRNPH1, THRAP3, CLNS1A, XRN2, SNRNP27, PPIE, LUC7L3, PPIH, SRSF4, SNRPA1, SNRNP25, SNRPA, SF1, RBM22, SF3B4, YTHDC1, DDX1, SRSF1, WBP4, PABPN1, FIP1L1, PUF60, U2AF2, TRA2A, ZMAT5, POLR2D, SNRPB2, RBBP6, SMN1, SRSF10, ZC3H14, DCPS, SMNDC1, RNF20, DDX39, SF3A3, RBM38, PRPF38B, PRPF38A, ZRANB2, CPSF6, WTAP, ALYREF, LSM1, CDC5L, MAGOHB, SRPK1, HNRNPL, SNRNP40, LSM7, SNW1, ACIN1, RBM42, AGGF1, RNPS1, PRPF31, GRSF1, TARDBP	1129	422	17911	3.3082331803928313	1.1546069408339842E-19	2.5066848196919194E-20	2.393643370016871E-20
GOTERM_BP_FAT	GO:0044265~cellular macromolecule catabolic process	132	10.56	1.8653704566839705E-23	FMR1, EIF4A3, HNRNPR, UBE3A, AUP1, PSMD6, PSMD7, MAEA, PSMD2, CDC26, PSMD3, LONP1, PSMD1, VPS36, CDK5RAP3, SMARCC1, USP5, CSNK1D, TRPC4AP, CDC34, CLPP, PSME3, MRTO4, XRN2, UBE2V2, YME1L1, RBCK1, VPS25, SQSTM1, PSMD10, RNASEH2B, PSMD12, VCP, TSG101, RNASEH2A, PSMD11, PSMD14, CUL1, HTRA2, UBE2J2, GSPT1, RNASET2B, ZFP36L2, UBE2J1, BAG6, BTBD1, DDRGK1, XBP1, SDF2L1, TOR1A, HSPA5, EDEM2, LSM1, MAGOHB, COPS3, UBE2W, LSM7, GIPC1, RNF181, RNPS1, UBA1, CCDC22, STT3B, UBE2K, RNF187, FEN1, FAF1, CTSZ, PRPF19, DDA1, PTBP1, CASP8, PBK, UBXN8, SDF2, SKP1A, UBXN4, CTSB, PDCD6IP, NCBP1, NCBP2, PAPD4, RAD23A, PPP2R5C, UCHL3, RAD23B, TOPORS, PSMA5, DNAJC3, DDB1, THRAP3, CSDE1, WAC, ETF1, DCP2, USP14, USP15, VPS4B, DERL1, DERL2, PSMB10, EXOSC7, EXOSC6, ZNRF1, EXOSC5, HECTD1, OS9, RNF138, GPC1, EXOSC8, POLR2D, UBQLN1, RBBP6, EXOSC3, DCPS, RNF20, USP25, CSNK1A1, ADRM1, HUWE1, UBE2G2, SVIP, PNRC2, PDCL3, PSMC5, PSMC6, PSMC4, NEDD4, PSMC1, PSMC2, BAX, TNRC6A	1129	828	17911	2.5291202937061144	1.2533424098459598E-19	2.5066848196919194E-20	2.393643370016871E-20
GOTERM_BP_FAT	GO:0044248~cellular catabolic process	184	14.719999999999999	4.3096755569059873E-23	ACAA2, ECI1, FMR1, EIF4A3, NUDT1, HNRNPR, UBE3A, AUP1, COMT, NUDT5, MPO, PSMD6, PSMD7, MAEA, NRD1, PSMD2, CDC26, PSMD3, LONP1, PSMD1, HADH, VPS36, CDK5RAP3, SMARCC1, ACOT7, USP5, ACSL5, CSNK1D, MIF, TRPC4AP, CDC34, CLPP, PSME3, MRTO4, XRN2, UBE2V2, YME1L1, RBCK1, VPS25, SQSTM1, PSMD10, RNASEH2B, PSMD12, VCP, TSG101, RNASEH2A, PSMD11, PSMD14, GLO1, CUL1, HTRA2, UBE2J2, GSPT1, ADH5, RNASET2B, ZFP36L2, ACAT1, UBE2J1, BAG6, PRDX3, PRDX2, BTBD1, DDRGK1, PRDX1, AMDHD2, HMOX2, XBP1, SDF2L1, TOR1A, HSPA5, IDH1, GOT2, EDEM2, LSM1, MAGOHB, COPS3, UBE2W, LSM7, GIPC1, RNF181, RNPS1, UBA1, BLMH, CCDC22, STT3B, UBE2K, ITPA, RNF187, FEN1, HIBADH, FAF1, HEXA, CTSZ, ETFA, PRPF19, DDA1, PTBP1, CASP8, SPTLC2, ACADL, RNPEP, PBK, UBXN8, SDF2, SKP1A, UBXN4, ACADS, CTSB, BCKDHA, PDCD6IP, NCBP1, GSTO1, NCBP2, AKR1A1, PAPD4, RAD23A, PPP2R5C, UCHL3, RAD23B, TOPORS, PSMA5, DNAJC3, DDB1, HADHB, HADHA, PEX7, SLC25A17, THRAP3, CSDE1, WAC, ETF1, DCTPP1, DCP2, BCAT2, BECN1, USP14, USP15, ECHS1, OAT, AHCY, PON2, VPS4B, DERL1, DERL2, ACAA1A, PSMB10, NT5C, EXOSC7, EXOSC6, ZNRF1, EXOSC5, HECTD1, OS9, RNF138, OXCT1, GPC1, EXOSC8, POLR2D, UBQLN1, RBBP6, EXOSC3, DCPS, RNF20, USP25, CSNK1A1, TXNRD1, ADRM1, HUWE1, UBE2G2, SVIP, PNRC2, BCKDK, PDCL3, PNKD, PSMC5, PSMC6, XPNPEP1, PSMC4, NEDD4, PSMC1, PSMC2, BAX, TNRC6A, PNPLA2	1129	1387	17911	2.1045887952345037	2.895671006685133E-19	4.826118344475221E-20	4.608479728851469E-20
GOTERM_BP_FAT	GO:0008380~RNA splicing	77	6.16	9.963777308657331E-23	ISY1, RBM28, DDX46, DDX47, FMR1, EIF4A3, PSIP1, DDX41, PRPF19, PQBP1, SART1, PNN, PTBP1, SYNCRIP, SNRNP70, C1QBP, DHX15, ARL6IP4, RBM7, NCBP1, SCAF11, NCBP2, PRPF40A, PRPF4B, THOC3, THOC2, WBP11, CDC40, RBMXL1, HNRNPH1, THRAP3, CLNS1A, SNRNP27, PPIE, LUC7L3, PPIH, SRSF4, SNRPA1, SNRNP25, SNRPA, SF1, RBM22, SF3B4, YTHDC1, DDX1, SRSF1, WBP4, PUF60, U2AF2, TRA2A, ZMAT5, SNRPB2, SMN1, SRSF10, DCPS, SMNDC1, DDX39, SF3A3, RBM38, PRPF38B, PRPF38A, ZRANB2, WTAP, ALYREF, LSM1, CDC5L, MAGOHB, SRPK1, HNRNPL, SNRNP40, LSM7, SNW1, ACIN1, RBM42, RNPS1, PRPF31, TARDBP	1129	342	17911	3.5718277832165293	6.694661973686861E-19	9.563802819552659E-20	9.132513601763634E-20
GOTERM_BP_FAT	GO:0043933~macromolecular complex subunit organization	253	20.24	3.723861644662983E-22	SMARCB1, NUDT5, TRIM28, PPP2R1A, MYB, LONP1, DENR, TRIM27, EIF2A, SMARCC1, SCAF11, PIH1D1, CSNK1D, MIF, CDC40, HCFC1, AFG3L1, EML4, BIN1, CLPP, CLNS1A, AKAP9, PREB, ASF1A, SAR1A, WDR61, BRCC3, RTF1, GSPT1, MRPL11, RRP7A, SNX2, WBSCR22, STX4A, GSDMD, MCTS1, NAA50, XBP1, SURF1, ST13, PUM2, SNW1, PSMG4, NDUFAF3, PSMG1, CALR, PSMG2, FARSA, FAF1, MRPS11, CTCF, PRPF19, PQBP1, NIPBL, ING2, CHAF1A, ACADL, C1QBP, TK1, ACADS, CCT3, BRD3, HELLS, BRD2, PBRM1, PRMT1, ACTL6A, NME2, ASH1L, MRPS7, BAZ1B, DDB1, IMMP1L, TMEM33, MTF2, WAC, ARHGEF2, MICU1, VAMP3, NAPA, CDC123, OAT, NIP7, GPS1, DERL1, PPP2CA, BCLAF1, CHRAC1, SAMM50, NSD1, UBN1, CCT8, BRD7, LCMT1, SRSF10, BRD4, MBD3, SUZ12, CENPW, UTP3, MCRS1, NR1H2, ATAD2, HUWE1, SVIP, MZT1, FKBP1A, PSMC5, PSMC6, APITD1, CENPH, PSMC4, PSMC1, VMA21, PSMC2, CTNNB1, PRPF31, SRP19, TOR2A, ZFP207, FMR1, PLOD3, CIB1, MPO, IPO5, FBL, STK11, HMGN5, RUVBL2, RUVBL1, MAF1, KDM2B, UBE2E1, TAP2, VRK1, GTF2F2, APOA1BP, SAP30, ATXN2L, RBMXL1, BRMS1, MORF4L2, MRTO4, HAT1, SBDS, FKBP4, SQSTM1, PPID, KPNB1, PSMD10, DDX6, COX19, DNMT1, VCP, ENY2, PSMD11, YTHDC1, PHB, CORO1B, RTN4, RPF1, ACAT1, BAG6, EIF2S3X, SMN1, SUDS3, SMAD2, TOR1A, CPSF6, CBX4, CBX3, HSPA4, DNAJC15, NASP, TRP53, CDK1, TCF3, COPS8, UBE2K, RSL24D1, ISY1, PRKCSH, HP1BP3, SNAP23, PSIP1, CHD4, CHD1, SART1, CASP8, ZNRD1, SIN3B, VPS72, WDR5, UBTF, WHSC1, SKP1A, HIST1H1B, MKKS, VBP1, EED, MSL3, KCNAB2, ARID1A, FH1, DNM2, TAPBP, DNAJC2, LUC7L3, ITGB1BP1, ETF1, DCTPP1, RBM22, OTUB1, MCM2, STOML2, USP15, HDAC2, SMARCD2, HDAC3, DCTN1, VPS4B, SRSF1, ASAP1, AURKB, HMGCL, TAF1D, CDC45, MAT2A, POLR2D, STOM, RBBP7, MTA2, EIF4B, SMARCE1, RNF20, RRM1, TAF12, BAD, TXNRD1, ADRM1, TAF11, LRWD1, SOD2, NAP1L4, RAD50, BC004004, EIF3L, IMPDH2, EIF3G, BAX, ABCE1, EIF3D, EIF3B	1129	2229	17911	1.8006791862322131	2.5020626390490583E-18	3.127578298811323E-19	2.986537039019712E-19
GOTERM_BP_FAT	GO:0010467~gene expression	472	37.76	3.697799296268023E-21	POP5, POP7, RRP1, HNRNPR, EPRS, PHB2, MYB, GPBP1, NAMPT, VPS35, VPS36, CDK5RAP3, DDX17, PIH1D1, NGDN, DNTTIP2, MED9, HDGFRP2, AARSD1, GTPBP4, HCFC1, CLNS1A, RBCK1, VPS25, ASF1A, SF1, MRPL19, CDCA7, MRPL17, WDR61, MRPL15, MRPL12, MRPL13, MRPL10, MTDH, MRPL11, RRP7A, PRDX3, PRDX2, KCNQ1OT1, BLOC1S2, GAR1, RRS1, MCTS1, PRPF38B, PRPF38A, MRPL27, LARP7, IRF2BP2, PA2G4, H13, MRPL23, MAGOHB, MRPL24, MRPL21, MRPL22, HNRNPL, MLLT10, QARS, HNRNPD, DUS1L, FARSA, PKIG, ARF4, MRPL36, CTCF, MRPL34, MRPL35, MRPL32, PQBP1, MRPL41, NIPBL, ING2, MED10, RRP15, BRD3, HELLS, BRD2, NSUN2, ACTL6A, MRPL49, ASH1L, BAZ1B, MRPL43, GNL3, MRPL44, NSA2, MED21, PTRH2, MTF2, GARS, SF3B4, CDC123, SRRT, GPS2, MRPL55, BCLAF1, NDNL2, NSD1, HARS, PAIP2, BRD7, SRSF10, BRD4, SF3A3, MBD3, CASP8AP2, PCGF5, UTP3, MCRS1, NR1H2, ATAD2, PSMC5, PSMC6, PSMC4, APEX1, PSMC1, PSMC2, CRLF3, GTF2B, FMR1, YY1, SMCHD1, HMGN5, NRD1, RUVBL2, RUVBL1, PMPCB, MAF1, IFNAR2, MAP2K3, MAP2K2, S100A1, GTF3A, SARS, CNPY2, PRPF4B, THOC3, THOC2, GTF2F1, GTF2F2, ILF2, FOXP1, SAP30, EBNA1BP2, RBMXL1, MORF4L2, MRTO4, MAPKAPK2, HAT1, NHP2, SNRNP27, SRSF4, SNRNP25, SQSTM1, SNRPA, DNMT1, ENY2, RNASEH2B, GLO1, MAZ, PHB, GTF2E2, EIF1AD, SBNO1, DDRGK1, EIF2S3X, SMN1, LSM1, CNOT4, DRAP1, LSM7, COPS5, CDK4, COPS2, CDK1, 0610009B22RIK, PIN1, EIF4G3, RSL24D1, RNF187, EIF4G1, ISY1, CDCA7L, MRPL4, SART1, PTBP1, MRPL2, ZNRD1, SIN3B, SNRNP70, VPS72, WDR5, UBTF, EIF5B, RFC1, MSL3, PAPD4, DNAJC3, DNAJC2, TRAF7, SLC25A17, ETF1, SNRPA1, EIF4E2, SLC25A4, CEBPA, HDAC2, SMARCD2, ZFP422, HDAC3, GTF3C6, SRSF1, WBP4, LAGE3, CDC45, FIP1L1, PUF60, U2AF2, POLR2C, POLR2D, WBP5, POLR2E, POLR2F, SNRPB2, RBBP6, POLR2H, BAK1, RBBP7, E2F4, POLR2I, SEC11A, EIF4E, EIF4B, E2F8, SMARCE1, POLR2M, NOP56, RNF20, NOP58, ADRM1, CDC5L, PNRC2, SNRNP40, EIF3L, EIF3G, PDCD4, CEBPZ, POLR3K, EIF3D, TNRC6A, PTPN2, EIF3B, ISCA1, SMARCB1, VARS, CCNH, EIF4A3, FCF1, CCAR1, PNN, TRIM28, ARL6IP4, DENR, TRIM27, EIF2A, SMARCC1, IMP3, SCAF11, SLC35C2, MRPS18A, IMP4, CSNK1D, MIF, CDC40, AFG3L1, KARS, XRN2, BTK, PREB, EIF1A, DHX9, MYCBP2, RTF1, GSPT1, OSGEP, APH1A, COMMD8, ERI1, WBSCR22, XBP1, ZRANB2, PUM2, SRPK1, AIMP1, SNW1, FUBP1, MPHOSPH10, RNPS1, CALR, MRPS11, MRPS12, MRPS10, SRA1, PRPF19, N4BP2L2, SYNCRIP, XPO1, C1QBP, CHMP1A, DHX15, MLX, CTSG, PBRM1, PRMT1, MRPS25, PABPC4, MRPS23, NME2, COMMD3, PRPF40A, MRPS7, COMMD6, COMMD7, TOPORS, COMMD4, MLF2, NME1, IMMP1L, MRPS9, SLTM, HNRNPH1, CSDE1, WAC, ARHGEF2, EEF1E1, MYCBP, PRIM1, MRPS34, TYMS, PPP2CA, EXOSC7, EXOSC6, EXOSC5, CUX1, CREG1, EXOSC8, TCEB3, EXOSC3, DCPS, EXOSC1, SUZ12, RPL34-PS1, NPM3, RSL1D1, SPCS3, CR1L, NEDD4, CTNNB1, AGGF1, PRPF31, TARDBP, RPP30, CIB1, UBE3A, CHCHD4, NARS, FBL, CHCHD3, KDM2B, LMO2, ADAM10, UTP11L, WBP11, BRMS1, DKC1, RPL7L1, RPP21, SBDS, PPIE, PPIH, MATR3, UBE2V1, PPID, ISCU, PSMD10, DDX6, TSG101, YTHDC1, UBA5, DDX1, PMF1, ZFP36L2, RPF1, ZMAT5, SUDS3, ZC3H14, SMAD2, DARS, CBX5, CPSF6, CBX4, CBX3, HSPA4, ALYREF, CBX1, EIF2S1, TRP53, TCF3, GRSF1, RBM28, DDX46, DDX47, HP1BP3, PSIP1, HMGB3, CHD4, DDX41, ELAVL1, CHD1, CASP8, WHSC1, RBM7, SRGN, TSFM, MKKS, NCBP1, EED, NCBP2, ATP6AP2, DDX54, TRNAU1AP, ARID1A, UTP18, CCNA2, ELF1, THRAP3, LUC7L3, ITGB1BP1, EAPP, RBM22, STOML2, USP15, ATF6B, POLDIP3, DDX21, RRBP1, PARL, AURKB, TAF1D, PABPN1, TRA2A, TMEM208, MTA2, SMNDC1, ABCF1, IGBP1, DDX39, RBM38, CHURC1, WTAP, TAF12, BAD, TAF11, DTNBP1, SLC50A1, SOD2, USF2, RBM42, ACIN1, ABCE1, SSBP4	1129	5224	17911	1.4333911618651805	2.484551347162485E-17	2.7606126079583164E-18	2.6361200316506264E-18
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	142	11.360000000000001	5.0663015607195516E-20	FMR1, EIF4A3, HNRNPR, UBE3A, AUP1, PSMD6, PSMD7, MAEA, NRD1, PSMD2, CDC26, PSMD3, LONP1, PSMD1, VPS36, CDK5RAP3, SMARCC1, USP5, CSNK1D, TRPC4AP, CDC34, CLPP, PSME3, MRTO4, XRN2, UBE2V2, YME1L1, RBCK1, VPS25, SQSTM1, PSMD10, RNASEH2B, PSMD12, VCP, TSG101, RNASEH2A, PSMD11, PSMD14, MYCBP2, CUL1, HTRA2, PHB, UBE2J2, GSPT1, RNASET2B, ZFP36L2, UBE2J1, BAG6, BTBD1, DDRGK1, XBP1, SDF2L1, TOR1A, HSPA5, EDEM2, LSM1, H13, MAGOHB, COPS3, UBE2W, LSM7, GIPC1, PIN1, RNF181, RNPS1, UBA1, CCDC22, STT3B, UBE2K, RNF187, FEN1, FAF1, CTSZ, PRPF19, DDA1, PTBP1, CASP8, PBK, UBXN8, SDF2, SKP1A, UBXN4, GET4, CTSB, PDCD6IP, NCBP1, NCBP2, PAPD4, RAD23A, PPP2R5C, UCHL3, RAD23B, TOPORS, PSMA5, DNAJC3, DDB1, THRAP3, CSDE1, WAC, ETF1, SEC22B, DCP2, BECN1, USP14, USP15, VPS4B, DERL1, DERL2, PSMB10, EXOSC7, EXOSC6, ZNRF1, EXOSC5, HECTD1, OS9, RNF138, GPC1, EXOSC8, POLR2D, UBQLN1, RBBP6, EXOSC3, DCPS, RNF20, USP25, EGLN2, CSNK1A1, ADRM1, HUWE1, UBE2G2, SVIP, PNRC2, PDCL3, PSMC5, PSMC6, PSMC4, NEDD4, PSMC1, PSMC2, BAX, TNRC6A, MAD2L1	1129	1010	17911	2.2304519025861844	3.4040480186474667E-16	3.4040480186474664E-17	3.2505390813576646E-17
