"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Crxos",6.86480511139557e-27,-8.53346278349439,0.076,1,2.52302182259121e-22
"Gm9376",1.10784778579454e-26,-4.41100792004754,0.013,0.966,4.07167296713069e-22
"Trpm1",7.66206126612227e-25,-9.61980153113513,0.101,0.966,2.81603737713792e-20
"Peg10",8.15084525387612e-25,12.2457079855298,1,0.052,2.99568015615709e-20
"Spic",3.7920703510697e-24,-5.37513585671285,0.076,0.966,1.39369961612865e-19
"Esrp1",4.53581431976641e-24,7.30787807147099,1,0.052,1.66704783694375e-19
"Lin28a",9.43636550815507e-24,7.37291979251007,1,0.31,3.46814741521223e-19
"Gm8659",1.97512156318409e-23,4.51737148656661,1,0.897,7.25916428117047e-19
"Prdx6-ps2",1.99432051748308e-23,4.87115496643245,1,0.293,7.32972619790557e-19
"Gm15766",2.26207540953825e-23,4.33166722138614,1,1,8.31380575267593e-19
"Sprr2a2",2.36338549844382e-23,4.61057595628894,1,1,8.68615072243058e-19
"Gm5389",2.46342958169275e-23,4.78542914271831,1,0.914,9.05384274159535e-19
"Gm6977",2.81554765968982e-23,4.37202550078891,1,1,1.0347982313658e-18
"Gm6043",3.20995102782338e-23,4.34591045612988,1,0.983,1.17975330125593e-18
"Rpl5-ps2",3.20995102782338e-23,4.33864859717794,1,1,1.17975330125593e-18
"Aldoart2",3.50238813849772e-23,4.53865097632309,1,0.966,1.28723271254207e-18
"Gm13685",3.91215618954701e-23,4.24019571885271,0.987,0.259,1.43783476434421e-18
"Gm5787",4.16050295845946e-23,4.25325364960051,1,0.914,1.5291096523226e-18
"Gm12164",4.17012481363259e-23,4.3956845849685,1,1,1.53264597275439e-18
"Gm4735",4.17012481363259e-23,4.93180835098244,1,1,1.53264597275439e-18
"Gm16103",4.20851970478593e-23,4.99645020336376,1,0.5,1.54675724709997e-18
"Cldn6",4.63572484539901e-23,7.92036551919774,1,0.224,1.7037679524295e-18
"Gm10313",4.95168687683959e-23,4.12506247981407,1,0.914,1.81989347784485e-18
"Gm7204",5.18362353936279e-23,3.3453699672422,1,1,1.90513715942201e-18
"Gm7589",5.4132233856826e-23,3.71070240687706,1,0.966,1.98952199093993e-18
"Gm15974",5.51311175223005e-23,4.34007713370942,1,0.81,2.02623396229711e-18
"Xlr3b",5.64116958921411e-23,-10.0494466735569,0.013,0.862,2.07329905912386e-18
"Eno1",5.65418581382407e-23,4.03695066841271,1,1,2.07808291215476e-18
"Gm5529",5.65418581382407e-23,3.96333508378927,1,0.983,2.07808291215476e-18
"Gm7507",5.84845740112156e-23,4.08734544729801,1,0.862,2.14948354863421e-18
"Gm12816",5.90508488556097e-23,3.66368247972742,1,1,2.17029584799022e-18
"Rps18-ps1",5.90508488556097e-23,3.12131621393521,1,1,2.17029584799022e-18
"Gm4222",5.96006720423603e-23,-3.04197553799798,0.013,0.879,2.19050349957287e-18
"Gm6498",6.01863437808118e-23,4.32238475887518,1,0.69,2.21202869297618e-18
"Gm12468",6.16417536632435e-23,3.71651353507665,1,0.948,2.26551937238519e-18
"Gadd45g",6.29399494394545e-23,7.15952245611426,0.975,0.034,2.31323196174827e-18
"Aldoart1",6.44041414871957e-23,3.96724782825101,1,1,2.3670454120789e-18
"Gm5523",6.44041414871957e-23,4.10833997006357,1,1,2.3670454120789e-18
"Gm10169",6.72582212705688e-23,3.38136576027231,1,1,2.47194140635721e-18
"Gm38393",7.01572298141583e-23,4.53763600372528,1,0.931,2.57848866735976e-18
"Prdx6",7.02374600356699e-23,4.52422390423764,1,1,2.58143736869098e-18
"Gm13368",7.06420484393751e-23,4.73328487483352,1,0.569,2.59630720629235e-18
"Gm11953",7.317996068019e-23,4.1419556012536,1,0.914,2.68958309487902e-18
"Odc1",7.33472873180839e-23,3.93463763382384,1,0.983,2.69573285080154e-18
"Gm13341",7.65933655802398e-23,3.80486810204697,1,1,2.81503596517055e-18
"Gm9061",8.71102539371218e-23,4.09395010840483,1,0.931,3.20156316295104e-18
"Gm5278",8.71697496601048e-23,4.2474101578107,1,0.948,3.20374980925783e-18
"Gm11263",8.720943512708e-23,3.31625579387325,1,1,3.20520836922557e-18
"Gm2445",8.720943512708e-23,4.02011492787551,1,1,3.20520836922557e-18
"Gm7289",8.720943512708e-23,4.05947852028316,1,1,3.20520836922557e-18
"Gm8349",9.49753464391499e-23,3.45702559405994,1,0.931,3.49062890767808e-18
"Gm10327",9.50832926873051e-23,3.8893382769748,1,1,3.49459625613652e-18
"Gm4691",9.50832926873051e-23,3.92746925250262,1,1,3.49459625613652e-18
"Gm15564",9.92801307057955e-23,2.82603178496001,1,1,3.6488426438301e-18
"Gm5558",9.92801307057955e-23,4.03251896581309,1,1,3.6488426438301e-18
"Gm6316",9.92801307057955e-23,4.01710483444188,1,0.983,3.6488426438301e-18
"Gm4654",1.03660263030032e-22,3.685308995658,1,1,3.80982564714276e-18
"Gja1",1.04378528300345e-22,6.38025587860614,1,0.569,3.83622405062259e-18
"Gm11814",1.06769764057339e-22,5.49623444099154,1,0.845,3.92410913839938e-18
"Gm8565",1.23163348564688e-22,4.05555006419497,1,0.966,4.52662254979797e-18
"Gm14513",1.23177265837186e-22,3.59944611191339,1,1,4.5271340513141e-18
"Rplp0-ps1",1.23177265837186e-22,3.86681686837518,1,1,4.5271340513141e-18
"Gm14165",1.34258169144639e-22,3.0264143170853,1,1,4.93439049057292e-18
"Gm14450",1.34258169144639e-22,3.33051804952367,1,1,4.93439049057292e-18
"Gm16288",1.34258169144639e-22,3.69212828858588,1,0.983,4.93439049057292e-18
"Gm13339",1.4000518732812e-22,4.39271021824097,1,0.931,5.1456106498704e-18
"Gm4335",1.40163056524269e-22,3.85705025095313,1,0.983,5.15141281643646e-18
"Gm15779",1.46259013636976e-22,4.21449202126798,1,0.948,5.37545752819979e-18
"Gm4462",1.46324900631379e-22,3.3303911424056,1,1,5.37787907290506e-18
"Rps6-ps2",1.46324900631379e-22,3.49167908058648,1,1,5.37787907290506e-18
"Gm25381",1.51317817065895e-22,4.08730155977317,1,0.862,5.56138373062285e-18
"Gm47854",1.52154451714225e-22,4.00361032795728,1,0.897,5.59213256385292e-18
"Gm6322",1.52583841339229e-22,3.86294672119262,1,0.586,5.60791392074068e-18
"Gm15720",1.52754761153709e-22,3.98177194706539,1,0.983,5.61419573668226e-18
"Pgam1",1.52754761153709e-22,2.99816871501996,1,1,5.61419573668226e-18
"Gm5160",1.59392491771476e-22,3.95624019624508,1,0.948,5.85815225007704e-18
"Gm6065",1.59446246375621e-22,4.36292276980617,1,0.966,5.86012789304322e-18
"Eno1b",1.59464168438807e-22,3.73483097477083,1,1,5.86078658263149e-18
"Tagln",1.6538106974106e-22,17.1982895262297,0.949,0.034,6.07825045619318e-18
"Gm9115",1.65945353881943e-22,4.83007482911197,0.987,0.534,6.09898959122306e-18
"Skil",1.66465143290548e-22,4.2018863511569,1,0.983,6.1180934113575e-18
"Gm5883",1.81392455762202e-22,4.03502060531602,1,1,6.66671692662821e-18
"Gm8318",1.96540813200672e-22,3.994507602809,1,0.707,7.2234645075643e-18
"Prdx6b",1.96540813200672e-22,5.00516876023064,1,0.707,7.2234645075643e-18
"Gm14107",1.97422435918351e-22,3.84690641763973,1,0.931,7.25586678730714e-18
"Ldha-ps2",1.97555033523141e-22,4.53658079632653,1,0.948,7.260740147076e-18
"Gm13092",1.9764347934545e-22,3.04906044826234,1,1,7.26399079638332e-18
"Aqp3",1.9791728316393e-22,-5.00588956751175,0.228,1,7.27405390812391e-18
"Gm6944",2.12732075006565e-22,3.82268299496953,1,0.603,7.81854195271629e-18
"Gm14016",2.15334253958092e-22,3.88822635356742,1,1,7.91417983572175e-18
"Dnmt3b",2.23358052758229e-22,6.2928603667138,1,0.879,8.20907851302319e-18
"Gm12096",2.2450783401853e-22,4.13678578771967,1,0.931,8.25133642368305e-18
"Gm15484",2.24758535995418e-22,3.40012511681841,1,1,8.2605504734396e-18
"Gm17786",2.24758535995418e-22,3.15572639347188,1,1,8.2605504734396e-18
"Ftl1-ps2",2.34590871754667e-22,4.26477427639055,1,1,8.62191830959929e-18
"Gm14830",2.34590871754667e-22,3.35768633864586,1,1,8.62191830959929e-18
"Slc25a5-ps",2.43895810639607e-22,4.27109630161162,1,0.897,8.96390272843749e-18
"Gm12988",2.44848734522301e-22,4.12193513938204,1,1,8.99892553989813e-18
"Ptprf",2.55436584551266e-22,3.86365056892645,1,0.948,9.38806079201269e-18
"Gm4342",2.66714663745693e-22,3.53980537335479,1,1,9.80256403664544e-18
"Gm8722",2.66714663745693e-22,3.47562075231765,1,1,9.80256403664544e-18
"Gm5537",2.69315713337017e-22,4.89480432710157,1,0.569,9.89816041227538e-18
"Dusp9",2.77733488676713e-22,9.73543236569989,1,0.293,1.02075389093352e-17
"Gm12416",2.78237813583214e-22,3.45312727229087,1,0.948,1.02260743626239e-17
"Gm2986",2.78361500411223e-22,3.90284509655807,1,1,1.02306202246137e-17
"Gm12286",2.90511470287557e-22,3.20390868594023,1,1,1.06771680674786e-17
"Gm13422",2.90511470287557e-22,3.5605555572672,1,1,1.06771680674786e-17
"Gm3534",2.90511470287557e-22,3.61342644721664,1,1,1.06771680674786e-17
"Gm8186",2.90511470287557e-22,2.87505115451089,1,1,1.06771680674786e-17
"Gm7481",2.94111682427635e-22,3.62991564275578,1,0.483,1.08094866642629e-17
"Eif5al3-ps",3.03186067753101e-22,3.57653939261463,1,1,1.11429975481297e-17
"Gm6368",3.164076949569e-22,3.83221085919863,1,1,1.1628932012751e-17
"Gm16379",3.27142495478797e-22,4.10649908710053,1,0.862,1.20234681363322e-17
"Gm5045",3.30199699703602e-22,3.39096474148588,1,1,1.21358295632065e-17
"Gm11185",3.43824891135152e-22,3.84526679165739,1,0.914,1.26365962238902e-17
"Gm12583",3.44586414900263e-22,3.61932176681287,1,1,1.26645845068294e-17
"Gm14056",3.48397669310964e-22,3.88375997898364,1,0.793,1.28046595401859e-17
"Gm15467",3.56269747185008e-22,4.30358171434621,1,0.862,1.30939820182906e-17
"Gm11400",3.595931996284e-22,3.84248449863649,1,0.983,1.32161288659426e-17
"Gm8623",3.595931996284e-22,3.2383246579694,1,1,1.32161288659426e-17
"Tdpx-ps1",3.595931996284e-22,3.25277205404459,1,0.983,1.32161288659426e-17
"Gm15495",3.75246481907587e-22,3.64242117280121,1,1,1.37914339495495e-17
"Pgam1-ps2",3.75246481907587e-22,3.59716968819164,1,0.983,1.37914339495495e-17
"Gm15428",3.81807369681311e-22,5.2342698757135,1,0.552,1.40325662578972e-17
"Gm11675",3.9157380321918e-22,3.52802418640174,1,0.983,1.43915119897145e-17
"Gm12912",3.9157380321918e-22,3.15335302071744,1,1,1.43915119897145e-17
"Gm13292",3.9157380321918e-22,3.60226665791688,1,1,1.43915119897145e-17
"Gm15516",3.9157380321918e-22,3.3678654026612,1,1,1.43915119897145e-17
"Gm3839",3.9157380321918e-22,3.69136760516427,1,1,1.43915119897145e-17
"Epcam",4.08423754731793e-22,4.43643009718291,1,0.948,1.50107982576576e-17
"Gm12186",4.26319625718331e-22,3.91284116857629,1,0.966,1.56685252040258e-17
"Gm13464",4.26319625718331e-22,3.66511381897566,1,0.966,1.56685252040258e-17
"Gm4518",4.2636657621337e-22,3.73339181677803,1,1,1.567025077557e-17
"Gm2546",4.44844158086271e-22,3.80480901765702,1,0.966,1.63493573421447e-17
"mt-Nd3",4.44844158086271e-22,3.55075887534953,1,0.966,1.63493573421447e-17
"Cgn",4.8210133025442e-22,6.04177777406954,1,0.707,1.77186701908407e-17
"Pgam1-ps1",4.95868200736695e-22,3.68224025256643,1,0.741,1.82246439816757e-17
"Gm12728",5.04832987209526e-22,3.63728470002227,1,0.931,1.85541267789117e-17
"Gm15616",5.05387261225486e-22,3.22282739283391,1,1,1.85744980118203e-17
"Gm13461",5.27307779674049e-22,3.0789538253348,1,1,1.93801428263603e-17
"Gm15590",5.27307779674049e-22,3.92255287487948,1,1,1.93801428263603e-17
"Gm21399",5.27307779674049e-22,2.55495332421658,1,1,1.93801428263603e-17
"Gm5406",5.27307779674049e-22,3.67325821486038,1,1,1.93801428263603e-17
"Gm6548",5.27307779674049e-22,3.17196915586153,1,1,1.93801428263603e-17
"Gm8618",5.27307779674049e-22,2.98045132600082,1,1,1.93801428263603e-17
"Cldn7",5.47132612299681e-22,5.80751930147053,1,0.448,2.01087648998502e-17
"Rps19-ps7",5.7401002689772e-22,3.40048574418708,1,1,2.10965905185719e-17
"Gm5093",5.98218759424809e-22,4.38896534885279,1,0.931,2.198633406514e-17
"Gm12034",5.98873217302321e-22,3.18460056863679,1,1,2.20103873555122e-17
"Gm5822",5.98873217302321e-22,3.44409871447087,1,1,2.20103873555122e-17
"Eif3s6-ps1",6.24801617225131e-22,3.26790843737513,1,1,2.29633338378752e-17
"Gm4217",6.24801617225131e-22,3.94677997125095,1,1,2.29633338378752e-17
"Gm13198",6.3526810325422e-22,4.04359198325016,0.987,0.466,2.33480085989024e-17
"Gm12020",6.51840350118682e-22,3.93107560340106,1,1,2.39570883879119e-17
"Gm14138",6.51840350118682e-22,3.46954334033707,1,1,2.39570883879119e-17
"Gm6767",6.51840350118682e-22,3.04613931392194,1,1,2.39570883879119e-17
"Ldha",6.51840350118682e-22,3.8206958424834,1,1,2.39570883879119e-17
"Gm12857",6.79962277864371e-22,3.36105302800916,1,0.966,2.49906535983492e-17
"Ywhaz",6.80036428713639e-22,3.01600843323254,1,1,2.49933788645124e-17
"Gm8624",7.0943883317097e-22,2.74636515152767,1,1,2.60740054355326e-17
"Gm15599",7.3848907942464e-22,3.84720232800815,1,0.914,2.71416891360938e-17
"Gm6341",7.40098592426566e-22,3.05175698697833,1,1,2.72008435674536e-17
"Gm9143",7.40098592426566e-22,3.35233551992367,1,1,2.72008435674536e-17
"Gm9234",7.40098592426566e-22,2.96028418536305,1,1,2.72008435674536e-17
"Gm7985",7.57800089158526e-22,3.84075176845952,1,0.741,2.78514266768433e-17
"Rpl10-ps2",7.70391334154498e-22,3.39935895398192,1,0.914,2.83141927041803e-17
"Gm11966",7.72068868857407e-22,2.81196818939431,1,1,2.83758471371163e-17
"Snrpg",7.72068868857407e-22,2.36449935579698,1,1,2.83758471371163e-17
"Gm13050",8.40164822279911e-22,3.30084633736884,1,1,3.08785777132536e-17
"Gm13771",8.40164822279911e-22,3.47798122422218,1,0.983,3.08785777132536e-17
"Gm14706",8.40164822279911e-22,3.22752092446708,1,1,3.08785777132536e-17
"Gm10284",8.76028162741854e-22,3.46410027882092,1,0.948,3.21966630652514e-17
"Cox7b",8.76408302439012e-22,2.76410788740479,1,1,3.2210634339541e-17
"Gm11826",8.76408302439012e-22,3.18899908044882,1,1,3.2210634339541e-17
"Rpl34-ps2",8.76408302439012e-22,3.40279380169435,1,0.983,3.2210634339541e-17
"Gm4575",9.14198100907379e-22,3.24891912965284,1,1,3.35995228026489e-17
"Tcp1-ps1",9.47834698424587e-22,3.94786795288233,1,0.879,3.48357686711988e-17
