Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
translation (GO:0006412),115/214,2.67E-24,1.32E-20,0,0,4.200898391,228.0226745,RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS14;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;MRPS18C;TUFM;EEF1A1;LARS2;PPA1;RPL27;RPL26;RPL28;MRPL18;MRPL16;MRPL13;GSPT1;MRPL11;EIF4EBP2;ZC3H15;RPL41;TMA7;MRPL28;MRPL23;EEF2;MRPL24;AIMP1;RPS26;AIMP2;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS21;RSL24D1;RPS24;FARSB;MRPS17;HBS1L;MRPS16;GFM2;MRPS14;RPLP1;RPLP0;MRPL36;MRPL34;MRPL41;RPS4X;MRPL42;TRMT112;RPL7A;MRPL9;MRPS28;PABPC4;MRPS21;DARS2;RPL13A;MRPL47;MRPL52;EEF1G;MRPL51;EEF1D;RPL37A;ETF1;EEF1E1;MRRF;RPL10;MRPS33;RPL12;RPL11;RPL36A;RRBP1;MRPL57;MRPL55;RPS15A;RPS3;IARS2;RPL15;RPS27A;RPL17;ABCF1;PTCD3;RWDD1;NDUFA7;RPL35A;RPL23A;DRG1;RPL22L1;ABCE1
cytoplasmic translation (GO:0002181),66/93,8.01E-24,1.98E-20,0,0,8.780827887,466.9715736,RPL4;EIF4A1;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPL37A;ETF1;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPL36A;GSPT1;RPS15A;RPS3;RPL15;RPS27A;RPL17;ZC3H15;RWDD1;EIF2B3;RPL41;TMA7;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;DRG1;RPL22L1;RPS21;RPS24
rRNA processing (GO:0006364),97/173,1.64E-22,2.71E-19,0,0,4.603217937,230.8955829,RPL4;RPL5;RPL3;RPL32;RPL31;POP4;RPL34;FCF1;RPL8;RPL9;RPL6;RPL7;RPS14;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;WDR74;WDR75;EBNA1BP2;MRTO4;NHP2;SBDS;RPL27;RPL26;RPL28;NOLC1;SNU13;RPF1;EMG1;LYAR;MDN1;RPL41;WDR55;RPS25;RPS28;RPS27;EIF6;RPL27A;MPHOSPH10;NOL11;RPS24;DDX47;NVL;RPLP1;WDR3;RPLP0;NAT10;WDR43;RPL7A;MRPL1;UTP14A;RRP15;WDR36;UTP11;DIS3;TEX10;RPL13A;DDX52;SENP3;NSA2;C1D;RPL37A;DDX27;RPL10;RPL12;HEATR1;MAK16;RPL11;RPL36A;NOL8;EXOSC7;BMS1;PES1;EXOSC8;RPL15;EXOSC3;EXOSC2;RPL17;NOP58;UTP6;RIOK3;WDR18;RPL35A;RPL23A;RRP1B;WDR12;RSL1D1;ESF1
ribosome biogenesis (GO:0042254),103/192,7.84E-22,9.71E-19,0,0,4.176308814,202.9582917,RPL4;RPL5;RPL3;RPL32;RPL31;POP4;RPL34;FCF1;NOC2L;RPL8;RPL9;RPL6;RPL7;RPS14;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;EIF2A;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;WDR74;WDR75;EBNA1BP2;MRTO4;SBDS;RPL27;RPL26;RPL28;NOLC1;SNU13;RPF2;RPF1;EMG1;LYAR;MDN1;RPL41;NOP16;MRPL22;WDR55;RPS25;RPS28;RPS27;EIF6;RPL27A;MPHOSPH10;NOL11;RPS24;DDX47;NVL;PAK1IP1;RPLP1;WDR3;RPLP0;MRPL36;WDR43;RPL7A;XPO1;UTP14A;WDR36;UTP11;DIS3;TEX10;RPL13A;DDX52;SENP3;LSG1;C1D;RPL37A;DDX27;RPL10;RPL12;HEATR1;RPL11;RPL36A;NOL8;SDAD1;EXOSC7;BMS1;PES1;EXOSC8;RPL15;EXOSC3;EXOSC2;RPL17;NOP58;NPM1;UTP6;WDR18;RPL35A;RPL23A;RRP1B;WDR12;ESF1;ABCE1;RAN;CUL4B
cotranslational protein targeting to membrane (GO:0006613),64/94,1.36E-21,1.35E-18,0,0,7.658258397,367.9371887,RPL4;RPL5;SRP19;TRAM1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;SEC61A1;RPS17;RPS16;RPL35;RPL38;RPL37;SEC62;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SSR2;RPL22;RPS6;RPL13A;SRP9;RPL37A;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPS3;SSR1;RPL15;RPS27A;RPL17;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS21;RPS24
gene expression (GO:0010467),157/356,6.37E-21,5.26E-18,0,0,2.862806019,133.1287527,RPL4;RPL5;NUP107;RPL3;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;RPL8;RPL9;RPL6;RPL7;RPS14;RPS17;RPS16;MAGOH;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;THOC1;MRPS18A;THOC7;MRPS18C;SRRM1;EEF1A1;DDX39B;SARNP;SRSF3;RPL27;RPL26;SRSF5;SRSF6;RPL28;SRSF7;SRSF9;SLBP;NUP205;POM121;SEH1L;MRPL18;MRPL13;GSPT1;NUP160;MRPL11;NUP85;TPR;EIF4EBP2;RPL41;RBPMS;CPSF3;CPSF2;MRPL28;NUP153;MAGOHB;MRPL23;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;FUBP3;RPS29;RPL27A;AGO2;HNRNPD;MPHOSPH10;RNPS1;RPS21;RSL24D1;RPS24;FARSB;MRPS17;HBS1L;MRPS16;MRPS14;RPLP1;RPLP0;MRPL36;MRPL34;SMG7;MRPL41;RBM3;RPS4X;MRPL42;SYNCRIP;RPL7A;MRPL9;NDC1;SEC13;PABPC4;MRPS21;RPL13A;MLF1;MRPL44;WDR33;MRPL52;MRPL51;HNRNPH1;RPL37A;RBMS1;MRRF;PTMA;RPL10;DDX25;POLDIP3;MRPS33;RPL12;RPL11;SRSF1;RPL36A;RRBP1;U2AF1;MRPL55;HSPD1;NXF1;RPS15A;FIP1L1;POLR2B;RPS3;POLR2F;NUP43;POLR2G;RPL15;POLR2H;RPS27A;POLR2I;RAE1;RPL17;EIF4E;POLR2J;SRSF11;POLR2K;ABCF1;POLR2L;RANBP2;RBM39;RPL35A;RPL23A;GOLPH3;HNRNPA2B1;DRG1;NUP37
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),61/90,1.73E-20,1.22E-17,0,0,7.546241856,343.3861663,RPL4;RPL5;SRP19;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;SEC61A1;RPS17;RPS16;RPL35;RPL38;RPL37;SEC61B;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;SRP9;RPL37A;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPS3;RPL15;RPS27A;RPL17;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS21;RPS24
protein targeting to ER (GO:0045047),66/103,4.88E-20,3.02E-17,0,0,6.403516319,284.7404563,RPL4;RPL5;SRP19;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;SRP14;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;SEC61A1;RPS17;RPS16;SEC61G;RPL35;RPL38;RPL37;SEC62;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;SRP9;RPL37A;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPS3;RPL15;RPS27A;RPL17;RPL41;EDEM1;RPL35A;RPL23A;RPS26;RPS25;SPCS3;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;RPS21;RPS24
peptide biosynthetic process (GO:0043043),88/162,2.50E-19,1.24E-16,0,0,4.280584781,183.3505672,RPL4;MRPS17;RPL5;HBS1L;RPL3;MRPS16;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;MRPL36;RPL8;MRPL34;RPL9;RPL6;RPL7;MRPL41;RPS4X;RPS14;MRPL42;RPL7A;RPS17;RPS16;RPL35;RPL38;RPL37;MRPL9;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;PABPC4;RPL22;RPS6;MRPS18B;MRPS18A;MRPS21;RPL13A;MRPS18C;EEF1A1;MRPL52;MRPL51;RPL37A;RPL27;RPL26;RPL28;MRRF;RPL10;MRPL18;MRPS33;RPL12;RPL11;RPL36A;RRBP1;MRPL13;GSPT1;MRPL11;MRPL55;RPS15A;RPS3;EIF4EBP2;RPL15;RPS27A;RPL17;ABCF1;RPL41;MRPL28;RPL35A;RPL23A;MRPL23;MRPL24;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS21;RSL24D1;RPS24;FARSB
rRNA metabolic process (GO:0016072),88/162,2.50E-19,1.24E-16,0,0,4.280584781,183.3505672,RPL4;RPL5;RPL3;RPL32;RPL31;DDX47;NVL;POP4;RPL34;RPLP1;WDR3;RPLP0;FCF1;RPL8;RPL9;RPL6;WDR43;RPL7;RPS14;RPL7A;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;UTP14A;RPS9;WDR36;RPL21;RPS7;UTP11;DIS3;RPL23;TEX10;RPL22;RPS6;WDR74;WDR75;RPL13A;DDX52;SENP3;EBNA1BP2;MRTO4;C1D;RPL37A;SBDS;RPL27;RPL26;RPL28;DDX27;RPL10;RPL12;HEATR1;RPL11;RPL36A;NOLC1;NOL8;SNU13;RPF1;EXOSC7;EMG1;BMS1;PES1;EXOSC8;RPL15;EXOSC3;LYAR;EXOSC2;RPL17;MDN1;RPL41;NOP58;UTP6;WDR18;RPL35A;RPL23A;RRP1B;WDR12;WDR55;RPS25;RPS28;RPS27;RPL27A;MPHOSPH10;ESF1;NOL11;RPS24
