"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Crxos",3.01722059755777e-27,-1.90297126854433,0.076,1,1.10891908622041e-22
"Trpm1",4.68324119143815e-25,-2.29543071523132,0.101,0.966,1.72123163508926e-20
"Peg10",1.02952775815533e-24,1.12148778138857,1,0.052,3.78382336954827e-20
"Spic",1.11280571257913e-24,-2.54689917667534,0.076,0.966,4.08989483544208e-20
"Lin28a",1.47487933132348e-23,2.90949487628211,1,0.31,5.42062400641317e-19
"Aqp3",1.77915512452819e-23,-1.80756079153525,0.228,1,6.53892882917845e-19
"Esrp1",2.04849297548441e-23,1.37198592074746,1,0.052,7.52882623279786e-19
"Gm4735",2.46918648188975e-23,1.31901894366229,1,1,9.07500107688939e-19
"Sprr2a2",2.81554765968982e-23,0.391148463661762,1,1,1.0347982313658e-18
"4930513N10Rik",3.00522387572527e-23,-1.32525939676022,0.456,1,1.10450993104531e-18
"Rpl5-ps2",3.20995102782338e-23,0.405364936103675,1,1,1.17975330125593e-18
"Eno1",3.6589836004066e-23,2.22852337167122,1,1,1.34478624265744e-18
"Gm12164",4.35574311387754e-23,0.331329445712055,1,1,1.60086626664341e-18
"Rpl18a",4.35574311387754e-23,-1.58026925574971,1,1,1.60086626664341e-18
"Xlr3b",4.39070652848259e-23,-0.738033334466203,0.013,0.862,1.61371637041321e-18
"Gadd45g",8.24812940981398e-23,0.467134012577905,0.975,0.034,3.03143500198893e-18
"Eno1b",9.10621550165948e-23,1.7978282093475,1,1,3.34680738332491e-18
"Gm5529",1.34258169144639e-22,0.380871431305335,1,0.983,4.93439049057292e-18
"Gm6368",1.66465143290548e-22,1.14326831127032,1,1,6.1180934113575e-18
"Cldn6",1.81356181924197e-22,2.92446135905916,1,0.224,6.66538375426e-18
"Prdx6",1.9764347934545e-22,2.55865895036816,1,1,7.26399079638332e-18
"Aldoart1",2.06301262352165e-22,0.854024784251174,1,1,7.5821902952291e-18
"Tagln",2.0693973523827e-22,4.56157698154234,0.949,0.034,7.60565608921212e-18
"Gm14165",4.08603864861867e-22,0.684509612127069,1,1,1.50174178452682e-17
"Ftl1-ps2",4.44893104975625e-22,0.439720614747812,1,1,1.63511562871691e-17
"2210409E12Rik",4.82821565057093e-22,-0.588302639643645,0.342,0.983,1.77451409805433e-17
"Gja1",5.56716110007365e-22,3.58976782255221,1,0.569,2.04609871911007e-17
"Gm6977",5.7401002689772e-22,0.358766697275996,1,1,2.10965905185719e-17
"Gm7204",6.80036428713639e-22,0.679417959227539,1,1,2.49933788645124e-17
"Fkbp6",7.71289210270345e-22,-2.53602191105224,0.203,0.966,2.8347192345066e-17
"Gm7289",9.9468027381854e-22,0.2740632589858,1,1,3.65574841036528e-17
"Prrc1",1.12823536781246e-21,-2.22576555994538,0.962,1,4.14660344732113e-17
"Thbs1",1.15625673883033e-21,2.95239996295007,0.924,0.017,4.24959039222312e-17
"Gm15484",1.22785964504782e-21,0.588822270032208,1,1,4.51275255344424e-17
"Gm10169",1.28061120785169e-21,0.673195239044187,1,1,4.70663037221732e-17
"Mitf",1.32308712976304e-21,-1.33432401157326,0.139,0.948,4.8627421280181e-17
"Rps4l",1.39293218101032e-21,-1.5416392259835,1,1,5.11944364486722e-17
"Ckb",1.86838937933126e-21,-3.17242501924492,0.987,1,6.86689148585617e-17
"Dusp9",1.91291029029286e-21,0.725892407131583,1,0.293,7.03051918991336e-17
"Gstp2",2.92381397525483e-21,-0.719331881986498,0.646,1,1.07458935032541e-16
"Gm38393",3.08116332652823e-21,2.07210054524682,1,0.931,1.13241995739892e-16
"Gm12583",4.87197527598644e-21,0.354574095498932,1,1,1.7905970731833e-16
"Gm5822",4.87197527598644e-21,0.361232884219789,1,1,1.7905970731833e-16
"Bex1",5.29292544002631e-21,2.8278232624853,1,1,1.94530888697287e-16
"Gm12020",5.29292544002631e-21,0.358580289470132,1,1,1.94530888697287e-16
"Gm13461",5.29292544002631e-21,0.725995185866029,1,1,1.94530888697287e-16
"Rplp0-ps1",5.51669399335466e-21,0.305317449140695,1,1,2.02755054337764e-16
"Eif5al3-ps",5.74981482884336e-21,0.475503075448168,1,1,2.1132294440448e-16
"Meis2",6.00395877715096e-21,-0.93120825504224,0.19,0.948,2.20663496936629e-16
"Gm15428",6.15169997532745e-21,0.287545947349156,1,0.552,2.2609342919321e-16
"Ddx3y",6.37592873721923e-21,-1.49493086110392,0.165,0.914,2.34334508879018e-16
"Slc4a5",6.97506200494277e-21,-0.841933302577641,0.089,0.914,2.56354453867662e-16
"Dnmt3b",7.95510819440897e-21,3.28998317111641,1,0.879,2.92374091469113e-16
"Gm15590",9.83074355046274e-21,0.33661092364036,1,1,3.61309317710157e-16
"Xlr3a",1.11216465000097e-20,-0.712113536088256,0.051,0.828,4.08753873814858e-16
"Gabarapl2",1.31051143571153e-20,-2.10446624543789,1,1,4.81652267967057e-16
"H19",1.37731135681987e-20,2.5561956853047,0.873,0,5.06203242972007e-16
"Cldn7",1.38589957153649e-20,0.973942822921251,1,0.448,5.09359669526808e-16
