Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
glycolytic process (GO:0006096),29-Jul,1.13E-08,1.92E-05,0,0,32.77769886,599.8927544,LDHA;PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
actin filament organization (GO:0007015),12/152,4.07E-08,3.47E-05,0,0,9.011917494,153.3564775,CDC42;ACTA1;MARCKS;TPM4;ABI2;PLA2G1B;TPM2;TPM1;RHOBTB3;DSTN;FLNA;ALDOA
canonical glycolysis (GO:0061621),24-Jun,1.04E-07,4.16E-05,0,0,34.16753022,549.2738439,PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
glucose catabolic process to pyruvate (GO:0061718),24-Jun,1.04E-07,4.16E-05,0,0,34.16753022,549.2738439,PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
glycolytic process through glucose-6-phosphate (GO:0061620),25-Jun,1.36E-07,4.16E-05,0,0,32.36760295,511.7236741,PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
carbohydrate catabolic process (GO:0016052),7/41,1.47E-07,4.16E-05,0,0,21.19623162,333.5288509,LDHA;PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
muscle contraction (GO:0006936),10/129,6.68E-07,1.63E-04,0,0,8.751055978,124.4304263,ACTA2;ACTA1;TPM4;CALD1;TPM2;TPM1;CALM1;ALDOA;CRYAB;MYL12A
pyruvate metabolic process (GO:0006090),7/55,1.18E-06,2.51E-04,0,0,15.00336372,204.8380295,LDHA;PFKL;TPI1;PKM;PGK1;ENO1;ALDOA
substantia nigra development (GO:0021762),6/43,4.04E-06,7.64E-04,0,0,16.60607758,206.2466694,CDC42;GLUD1;HSPA5;CALM1;INA;ACTB
regulation of substrate adhesion-dependent cell spreading (GO:1900024),6/51,1.12E-05,0.001902285,0,0,13.64835924,155.6301657,CDC42;PDPN;SPRY4;FLNA;ACTN4;S100A10
regulated exocytosis (GO:0045055),10/180,1.34E-05,0.002071594,0,0,6.109866169,68.56660077,RAB31;TMSB4X;MYH9;FLNA;ACTN4;CALM1;ALDOA;CLU;STEAP2;THBS1
regulation of cell migration (GO:0030334),14/408,6.22E-05,0.008836215,0,0,3.727507203,36.09987732,BEX4;HSPA5;TPM1;SEMA3E;LAMB1;ACTN4;F3;THBS1;AFDN;TMSB4X;PDPN;FLNA;AMOTL2;ARID2
negative regulation of apoptotic process (GO:0043066),15/485,1.09E-04,0.014281203,0,0,3.352971785,30.59451112,BEX3;HSPA5;BNIP3;PLAUR;BRAF;LRP2;FSTL1;YWHAZ;THBS1;HSP90B1;KRT18;PDPN;FLNA;SFN;CRYAB
negative regulation of programmed cell death (GO:0043069),13/381,1.21E-04,0.014688807,0,0,3.690816386,33.29982205,HSPA5;BNIP3;PLAUR;BRAF;LRP2;FSTL1;YWHAZ;THBS1;HSP90B1;KRT18;PDPN;FLNA;CRYAB
negative regulation of protein-containing complex assembly (GO:0031333),5/52,1.65E-04,0.018730442,0,0,10.83241939,94.35349976,CDC42;IMPACT;HSPA5;CLU;CRYAB
platelet degranulation (GO:0002576),7/125,2.57E-04,0.027413896,0,0,6.081435381,50.26215253,TMSB4X;FLNA;ACTN4;CALM1;ALDOA;CLU;THBS1
phosphate-containing compound metabolic process (GO:0006796),9/212,2.82E-04,0.028284863,0,0,4.573036038,37.37518961,PFKL;PPA1;GPD2;GFPT2;PGK1;ENPP3;NUDT5;CALM1;ALDOA
platelet aggregation (GO:0070527),4/36,4.37E-04,0.041235734,0,0,12.6724359,98.04154755,FLNA;MYH9;ACTB;MYL12A
regulation of apoptotic process (GO:0042981),18/742,4.62E-04,0.041235734,0,0,2.620387046,20.12714601,HSPA5;BNIP3;PLAUR;BRAF;ACTN4;LRP2;FSTL1;CLU;YWHAZ;THBS1;DUSP6;HSP90B1;LGALS1;KRT18;PERP;PDPN;FLNA;CRYAB
positive regulation of macromolecule metabolic process (GO:0010604),12/384,4.87E-04,0.041235734,0,0,3.351561152,25.5656199,ACTA2;AFDN;ACTA1;GJA1;INPP5F;ANXA2;ID2;DNMT3B;BRAF;F3;CLU;SLC38A2
actin-myosin filament sliding (GO:0033275),4/38,5.39E-04,0.041235734,0,0,11.92579186,89.75916282,ACTA1;TPM4;TPM2;TPM1
muscle filament sliding (GO:0030049),4/38,5.39E-04,0.041235734,0,0,11.92579186,89.75916282,ACTA1;TPM4;TPM2;TPM1
cellular response to organonitrogen compound (GO:0071417),6/103,5.78E-04,0.041235734,0,0,6.315047273,47.0855767,IMPACT;LARP1;CAPN2;ACTB;IPO5;HSP90B1
nitrogen compound transport (GO:0071705),7/143,5.81E-04,0.041235734,0,0,5.271714154,39.28022714,SLC7A7;PDPN;TXNIP;MYH9;LRP2;SLC38A2;HSP90B1
negative regulation of cell-substrate adhesion (GO:0010812),4/40,6.57E-04,0.044755357,0,0,11.26210826,82.53325696,SPRY4;SEMA3E;ACTN4;THBS1
gluconeogenesis (GO:0006094),4/41,7.22E-04,0.047318301,0,0,10.95717256,79.2586564,TPI1;PGK1;ENO1;ALDOA
cell junction organization (GO:0034330),5/72,7.56E-04,0.047481908,0,0,7.591167872,54.56102849,CDC42;PPFIBP1;FLNA;SEMA3E;ACTB
regulation of glucose transmembrane transport (GO:0010827),19-Mar,8.36E-04,0.047481908,0,0,18.92697704,134.1344045,PLA2G1B;SLC2A1;BRAF
DNA alkylation (GO:0006305),19-Mar,8.36E-04,0.047481908,0,0,18.92697704,134.1344045,DNMT3L;DNMT3A;DNMT3B
DNA methylation or demethylation (GO:0044728),19-Mar,8.36E-04,0.047481908,0,0,18.92697704,134.1344045,DNMT3L;DNMT3A;DNMT3B
hexose biosynthetic process (GO:0019319),4/44,9.46E-04,0.048455043,0,0,10.13384615,70.56897453,TPI1;PGK1;ENO1;ALDOA
homotypic cell-cell adhesion (GO:0034109),4/44,9.46E-04,0.048455043,0,0,10.13384615,70.56897453,FLNA;MYH9;ACTB;MYL12A
glucose import across plasma membrane (GO:0098708),05-Feb,9.66E-04,0.048455043,0,0,66.99830795,465.1386275,SLC2A1;SLC2A3
actomyosin structure organization (GO:0031032),5/76,9.67E-04,0.048455043,0,0,7.162044432,49.71527445,KRT19;TPM1;ZYX;MYH9;MYH10
positive regulation of smooth muscle cell proliferation (GO:0048661),4/46,0.001119244,0.053042083,0,0,9.65030525,65.57480953,GJA1;ID2;THBS1;FOXP1
positive regulation of gene expression (GO:0010628),13/482,0.001120607,0.053042083,0,0,2.880940918,19.57277963,BRAF;F3;CLU;THBS1;ACTB;ACTA2;AFDN;ACTA1;GJA1;LIN28A;ID2;DNMT3B;SLC38A2
