"","Identity","Count","Min","Max","Median","IQR"
"1","epidermal cell",266,179576.711929249,6364445.91061799,1957926.21754103,1102593.44235672
"2","endothelial cell",2979,142692.609392526,5834713.49888647,467620.27794616,392725.42705661
"3","basal cell",1324,154423.600496147,6395197.83708528,1484251.6325369,860473.097203844
"4","bladder cell",675,182393.226301103,5463690.36092217,1722437.53002214,1032374.18735239
"5","leukocyte",649,143967.291406104,4571028.45460838,925053.251471345,621613.266200538
"6","microglial cell",4241,143405.67661601,4088496.19442729,559856.681150321,268127.708850392
"7","immature T cell",1282,143082.336173686,4680624.46783185,351341.271772184,232289.29365027
"8","B cell",1926,143146.571261122,3455116.24818325,320273.737224909,195844.694584734
"9","macrophage",384,148903.696061165,2139319.17183756,576094.223186504,442544.166111929
"10","mesenchymal stem cell of adipose",2063,149956.661382273,6863462.67775484,1699626.64016245,979607.404706275
"11","fibroblast",2068,156362.82312589,5552323.78288782,996574.135587898,568387.256267938
"12","myofibroblast cell",162,168976.590071808,1495824.08854587,482319.51243377,312288.5886445
"13","endocardial cell",164,176323.92586689,2662357.94048284,668190.480860889,455863.658753474
"14","skeletal muscle satellite stem cell",433,174312.507095189,4731787.28237291,398616.347643204,184841.046964207
"15","skeletal muscle satellite cell",523,142912.20870688,1665963.69403969,569211.855136094,333511.77842531
"16","basal cell of epidermis",1598,154247.290169481,7074380.90464989,1713676.72689131,949565.742356328
"17","astrocyte",395,145993.591447023,6664081.555866,628518.451336161,731635.155008061
"18","granulocyte",727,143097.10296806,3175630.58743275,586526.826986341,597562.554976711
"19","basophil",20,345239.882467121,4124642.26255679,1326800.01627018,708223.096664496
"20","keratinocyte stem cell",1355,154578.432000419,3843191.57732918,900019.928105431,495439.025131831
"21","mesenchymal cell",790,170388.542169827,4985216.96253923,1523128.26151595,916430.187759864
"22","natural killer cell",163,160143.873704975,1576521.38473319,451971.230607237,291612.312882003
"23","stromal cell",831,152090.190611948,5096630.7899161,1053942.79764021,938720.417941888
"24","lung endothelial cell",656,149929.85420417,2583774.80723923,365771.427514922,224212.745043066
"25","oligodendrocyte",1350,143218.041176974,7383112.24107719,1305599.79927659,660966.155768185
"26","Slamf1-positive multipotent progenitor cell",134,1501936.77845692,5126535.70024113,3018117.58537385,978368.114988419
"27","megakaryocyte-erythroid progenitor cell",54,986757.457420739,5276160.30843791,2219929.16930463,971428.489934508
"28","epithelial cell of large intestine",1802,143756.944822519,7415961.68217029,1491411.85465141,2390914.6552506
"29","immature B cell",341,154400.817145917,5633639.99507985,431433.79250983,363539.186639592
"30","Slamf1-negative multipotent progenitor cell",713,274568.178458744,6252759.77656337,1539460.69539952,899654.472759976
