"","GeneID","Cluster"
"1","S100a8","cluster6"
"2","S100a9","cluster6"
"3","1100001G20Rik","cluster6"
"4","Pglyrp1","cluster6"
"5","Cd52","cluster6"
"6","Camp","cluster6"
"7","Ngp","cluster6"
"8","Lcn2","cluster6"
"9","Lyz2","cluster6"
"10","Lyz1","cluster6"
"11","Anxa1","cluster6"
"12","Ltf","cluster6"
"13","Chi3l3","cluster6"
"14","Cybb","cluster6"
"15","Ifitm6","cluster6"
"16","Tmsb4x","cluster6"
"17","Tyrobp","cluster6"
"18","Malat1","cluster6"
"19","H3f3a","cluster6"
"20","Fau","cluster6"
"21","Serf2","cluster6"
"22","Eif1","cluster6"
"23","Txn1","cluster6"
"24","Alox5ap","cluster6"
"25","Sepx1","cluster6"
"26","Ostf1","cluster6"
"27","Aldh2","cluster6"
"28","Cyba","cluster6"
"29","Rac2","cluster6"
"30","Pfn1","cluster6"
"31","Arhgdib","cluster6"
"32","Hp","cluster6"
"33","Cotl1","cluster6"
"34","Arpc2","cluster6"
"35","Arpc1b","cluster6"
"36","Coro1a","cluster6"
"37","Actg1","cluster6"
"38","Myl6","cluster6"
"39","Cdc42","cluster6"
"40","Gmfg","cluster6"
"41","Arpc3","cluster6"
"42","Taldo1","cluster6"
"43","Mgst1","cluster6"
"44","Cd24a","cluster6"
"45","Vasp","cluster6"
"46","Gpsm3","cluster6"
"47","Prr13","cluster6"
"48","Klf2","cluster6"
"49","Fos","cluster6"
"50","1810033B17Rik","cluster6"
"51","Itgam","cluster6"
"52","Arrb2","cluster6"
"53","Clec4a2","cluster6"
"54","Cebpe","cluster6"
"55","Cebpd","cluster6"
"56","Flna","cluster6"
"57","Lmo4","cluster6"
"58","Hmgb2","cluster6"
"59","Hmgn2","cluster6"
"60","H2afz","cluster6"
"61","Gng5","cluster6"
"62","H3f3b","cluster6"
"63","Cfl1","cluster6"
"64","Gapdh","cluster6"
"65","Shfm1","cluster6"
"66","Gpx1","cluster6"
"67","Tkt","cluster6"
"68","Actr3","cluster6"
"69","Itm2b","cluster6"
"70","Pkm2","cluster6"
"71","Gpi1","cluster6"
"72","Sh3bgrl3","cluster6"
"73","Gnb2","cluster6"
"74","0910001L09Rik","cluster6"
"75","Dstn","cluster6"
"76","Scp2","cluster6"
"77","Tecr","cluster6"
"78","Cdk2ap2","cluster6"
"79","Myl12b","cluster6"
"80","Sfpi1","cluster6"
"81","Ly6c2","cluster6"
"82","Ftl1","cluster6"
"83","Aldoa","cluster6"
"84","Arpc4","cluster6"
"85","Myl12a","cluster6"
"86","Rhoa","cluster6"
"87","Calm1","cluster6"
"88","Fis1","cluster6"
"89","Actb","cluster6"
"90","Gabarap","cluster6"
"91","Arpc5","cluster6"
"92","Gnai2","cluster6"
"93","Limd2","cluster6"
"94","H2-D1","cluster6"
"95","Fth1","cluster6"
"96","Ier2","cluster6"
"97","1110003E01Rik","cluster6"
"98","Capzb","cluster6"
"99","3110003A17Rik","cluster6"
"100","Ndufb7","cluster6"
"101","Atp5h","cluster6"
"102","Tpt1","cluster6"
"103","Rpl35a","cluster6"
"104","Rps29","cluster6"
"105","Uba52","cluster6"
"106","Rpl9","cluster6"
"107","Rpl41","cluster6"
"108","Rps16","cluster6"
"109","Rpl37a","cluster6"
"110","Rps14","cluster6"
"111","Rps24","cluster6"
"112","Rpl23a","cluster6"
"113","Cox8a","cluster6"
"114","Rpl37","cluster6"
"115","Rps25","cluster6"
"116","Rps27a","cluster6"
"117","Rps9","cluster6"
"118","Rps13","cluster6"
"119","Rps10","cluster6"
"120","Rps3","cluster6"
"121","Rplp2","cluster6"
"122","Rpl23","cluster6"
"123","Rps15","cluster6"
"124","Rpl27","cluster6"
"125","Rpl18a","cluster6"
"126","Rpl17","cluster6"
"127","Rps23","cluster6"
"128","Rpl13a","cluster6"
"129","Rpl21","cluster6"
"130","Cox6a1","cluster6"
"131","Atp5j","cluster6"
"132","Tceb2","cluster6"
"133","Gpx4","cluster6"
"134","Clic1","cluster6"
"135","Tpm3","cluster6"
"136","Ppp1ca","cluster6"
"137","Vamp8","cluster6"
"138","Atp5e","cluster6"
"139","Cox6c","cluster6"
"140","Cox6b1","cluster6"
"141","Cox7c","cluster6"
"142","Ndufa3","cluster6"
"143","Ccdc72","cluster6"
"144","Chchd2","cluster6"
"145","Atp5l","cluster6"
"146","Cox4i1","cluster6"
"147","B2m","cluster6"
"148","Cox7a2","cluster6"
"149","Rac1","cluster6"
"150","Myeov2","cluster6"
"151","Pgk1","cluster6"
"152","Ubl5","cluster6"
"153","Pfdn5","cluster6"
"154","Ubb","cluster6"
"155","Mrpl33","cluster6"
"156","Ddx5","cluster6"
"157","Ube2d3","cluster6"
"158","1110008F13Rik","cluster6"
"159","Cox17","cluster6"
"160","Rbx1","cluster6"
"161","Ndufa13","cluster6"
"162","Ndufa1","cluster6"
"163","Ptpn18","cluster6"
"164","Rps27","cluster6"
"165","Rpl31","cluster6"
"166","Rpl7","cluster6"
"167","Rpl10","cluster6"
"168","Rps11","cluster6"
"169","Rpl27a","cluster6"
"170","Rps12","cluster6"
"171","Rps15a","cluster6"
"172","Rps3a","cluster6"
"173","Rpl13","cluster6"
"174","Rpl32","cluster6"
"175","Rps8","cluster6"
"176","Rps19","cluster6"
"177","Rps4x","cluster6"
"178","Rpl19","cluster6"
"179","Rpl11","cluster6"
"180","Eef1a1","cluster6"
"181","Rpl6","cluster6"
"182","Rplp0","cluster6"
"183","Rps6","cluster6"
"184","Rpl28","cluster6"
"185","Rpl24","cluster6"
"186","Rpl38","cluster6"
"187","Rps5","cluster6"
"188","Rps18","cluster6"
