Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0016192~vesicle-mediated transport	70	16.6270783847981	2.4299380149906474E-15	ITSN2, APP, SAMD9L, SH3KBP1, RAB3D, ITGB2, PTEN, GCC2, AP2A2, SYNE1, SIGLECE, FCNB, LGALS3, PSTPIP1, RINL, FLOT1, SIRPA, DENND5A, RAB8B, NCK1, TBC1D10B, CAP1, GABARAPL2, MAP2K1, SYK, GAPVD1, UNC13D, FGR, CHMP3, MYH9, EZR, VAMP5, SFT2D1, CHMP5, CDC42SE1, SDCCAG3, GRN, RALA, RALB, GNAI3, WAS, ADRB2, VPS26B, STX11, ADD1, RAP1B, C3, CXCR2, PLCG2, NCAM1, RAB6A, MAPK3, SNX6, AP1M1, LYN, ARFGEF1, PTPN1, RAB4B, GSN, SORT1, MSN, RAB27A, MYO5A, RAB11A, EHD1, PPT1, UNC119, CD9, GRB2, MYO1F	375	1168	17911	2.8624885844748857	1.1775247443779335E-11	1.171473117026991E-11	1.092014143936797E-11
GOTERM_BP_FAT	GO:0035556~intracellular signal transduction	106	25.17814726840855	1.890175772173066E-14	ITSN2, ZFAND6, RAB3D, ERO1L, IGF1R, DOCK11, RGS2, ZFP36, RASSF5, CPNE1, IER3, SH3GLB1, MAP2K1, PRKCD, AIP, DOK3, TRIB1, EZR, CDC42SE1, SHC1, PXN, C5AR1, STK39, BCL10, ADRB2, IQGAP1, STK4, RASGRP4, RAP1B, C3, SLC9A3R1, PPP3R1, PDCD10, STK38, PSAP, PLCG2, RAB6A, PDZD8, MARK2, MCL1, SRPK2, LYN, RAB4B, GADD45A, RAB27A, MYO5A, GADD45G, PTPRC, ARHGAP30, ARL2BP, WNK1, CDK2, ID1, GRB2, RGL2, TMEM9B, ADA, NFE2L2, GSK3B, DDX3X, DOCK8, PTEN, PPP3CA, GLIPR2, FLOT1, CTSH, NCK1, JAK1, RAB8B, SYK, DUSP1, PLAUR, IRAK3, FGR, PLSCR1, RASA2, CDC42EP3, HCLS1, ARHGEF1, LCP2, RAPGEF6, CD44, CEBPB, RALA, RALB, CAB39, CXCR4, FAM132A, RAB24, SH3BP5, NCAM1, RAB28, XDH, MAPK3, CDKN2D, ARFGEF1, PTPN1, GSN, STAT3, RAB11A, MAPK13, STK17B, KRAS, SIPA1, GRINA, DFNA5	375	2380	17911	2.127244817927171	9.099054842920395E-11	4.5562686988231755E-11	4.2472249600728794E-11
GOTERM_BP_FAT	GO:0006897~endocytosis	39	9.263657957244655	2.6650467727658614E-11	ITSN2, CDC42SE1, APP, GRN, SH3KBP1, ITGB2, PTEN, WAS, ADRB2, AP2A2, ADD1, SYNE1, SIGLECE, C3, LGALS3, FCNB, PSTPIP1, RINL, CXCR2, PLCG2, FLOT1, SIRPA, MAPK3, SNX6, CAP1, GSN, SYK, SORT1, RAB27A, GAPVD1, UNC13D, EHD1, FGR, PPT1, MYH9, UNC119, CD9, GRB2, EZR	375	525	17911	3.5480838095238094	1.2848185759750663E-7	4.282730163834739E-8	3.99224006560326E-8
GOTERM_BP_FAT	GO:0051128~regulation of cellular component organization	98	23.27790973871734	4.604477911688603E-11	ITSN2, GDA, IKZF1, NR3C1, ETS1, IGF1R, NPEPPS, LGALS3, RGS2, NUSAP1, SIRPA, DLEU2, IER3, TBC1D10B, SH3GLB1, MAP2K1, TMOD3, PRKCD, UNC13D, BIN3, EZR, CDC42SE1, PXN, ADRB2, IQGAP1, RAP1B, C3, SLC9A3R1, RAD21, NEU1, PLCG2, PDZD8, MARK2, LYN, NFE2, RAB4B, UBE2C, MSN, RAB27A, MYO5A, EHD1, ID1, PPT1, UNC119, GRB2, NFE2L2, GSK3B, DDX3X, SH3KBP1, HEXB, PTEN, KIF11, TRIOBP, SYNE1, SIGLECE, PPP3CA, GLIPR2, FLOT1, ANXA7, NCK1, RAB8B, CD53, SYK, DUSP1, PLAUR, PPP2R5A, IRAK3, FGR, G6PDX, CDC42EP3, HCLS1, CHMP3, MYH9, CD44, GAS7, CHMP5, GRN, RALA, RALB, WAS, RNF5, ADD1, NCAM1, MAPK3, CDKN2D, ARFGEF1, PTPN1, SEMA4A, CDKN2C, GSN, MID1IP1, CDK11B, RAB11A, FMNL1, TAF7, PI16, MYO1F, LIMS1	375	2399	17911	1.9511218563290258	2.2198212301649534E-7	5.549547003062689E-8	5.173130933782146E-8
GOTERM_BP_FAT	GO:0010941~regulation of cell death	74	17.577197149643705	2.0611868079586758E-10	GSK3B, BTG2, DDX3X, BTG1, NCF2, DOCK8, ZFAND6, PTEN, SLC40A1, NR3C1, IGF1R, HK3, LGALS3, ZFP36, RASSF5, CLEC5A, CTSH, JUNB, NCK1, IER3, SH3GLB1, CAST, DUSP1, TSC22D3, PRKCD, PLAUR, IRAK3, PLSCR1, DNAJC5, G6PDX, TXNIP, HCLS1, ARHGEF1, CD44, TNFRSF21, CEBPB, C5AR1, CXCR4, BCL10, ADRB2, STK4, SLC9A3R1, PDCD10, PSAP, CXCR2, PLCG2, NCAM1, XDH, MCL1, SLC25A24, CDKN2D, LYN, SRPK2, PTPN1, GSN, JUND, GADD45A, SORT1, STAT3, G0S2, CDK11B, GADD45G, PTPRC, STK17B, ID1, PPT1, KRAS, DEGS1, RGL2, ADA, DFNA5, NFE2L2, LIMS1, GRINA	375	1620	17911	2.181751440329218	9.936976514968165E-7	1.9873963202337552E-7	1.8525947029932576E-7
GOTERM_BP_FAT	GO:0070887~cellular response to chemical stimulus	101	23.990498812351543	4.19285104852809E-10	APP, CSF3R, NCF2, ZFAND6, NR3C1, ETS1, ERO1L, IGF1R, NPEPPS, LGALS3, ZFP36, CPNE1, CPNE3, CPNE2, JUNB, MAP2K1, ACSL1, PRKCD, AIP, MTUS1, TRIB1, EZR, MAX, SHC1, HVCN1, PXN, C5AR1, ADRB2, IQGAP1, FPR2, RAP1B, MED30, PDCD10, ALDH3B1, PSAP, MCL1, SNX6, LYN, JUND, MSN, MYO5A, EHD1, PTPRE, PTPRC, CDK2, ID1, GRB2, NFE2L2, GSK3B, DDX3X, ITGB2, PTEN, SLC40A1, TREM1, LYST, HK3, PPP3CA, HHEX, FLOT1, CTSH, FFAR2, NCK1, JAK1, PPP1R12A, SYK, DUSP1, IFNGR2, AGTRAP, IL16, IRAK3, IL17RA, PLSCR1, G6PDX, HCLS1, CD44, TNFRSF21, CEBPB, RALB, RETNLG, CXCR4, TOB1, RNF5, ADD1, FAM132A, CXCR2, XDH, MAPK3, SLC25A24, PTPN1, GSN, SORT1, AMFR, STAT3, KLF6, LRG1, ZYX, TAF7, CD9, KRAS, CKLF, SIPA1	375	2607	17911	1.850414013553254	2.021371188876131E-6	3.3689558174923205E-7	3.1404454353475396E-7
GOTERM_BP_FAT	GO:0006468~protein phosphorylation	76	18.052256532066508	7.767586220433808E-10	APP, GSK3B, ITGB2, PRKAG1, PTEN, IGF1R, HHEX, RGS2, ZFP36, GLIPR2, FLOT1, CTSH, NCK1, JAK1, MAP2K1, SYK, ACSL1, DUSP1, PRKCD, PLAUR, IRAK3, FGR, CTDSP1, HCLS1, LCP2, TRIB1, EZR, CD44, CDC42SE1, PPP1R15B, RALB, CAB39, SHC1, PXN, C5AR1, STK39, CXCR4, BCL10, ADRB2, IQGAP1, STK4, RAP1B, C3, SLC9A3R1, PDCD10, STK38, GRK6, PSAP, SH3BP5, XDH, MARK2, MAPK3, CDKN2D, LYN, SRPK2, PTPN1, CDKN2C, UBE2C, GADD45A, RIOK3, STAT3, CDK11B, MAPK13, GADD45G, CLK1, PTPRC, ARL2BP, WNK1, STK17B, CDK2, ID1, ABI1, TAF7, UNC119, KRAS, GRB2	375	1737	17911	2.089788524275571	3.7447464771300787E-6	5.094012452717293E-7	4.748494495439021E-7
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	107	25.415676959619955	8.778612901491633E-10	APP, LPGAT1, NCF2, NUDT4, IGF1R, RGS2, ZFP36, IER3, SH3GLB1, MAP2K1, ACSL1, PRKCD, PPP1R42, TRIB1, EZR, CDC42SE1, SHC1, PXN, C5AR1, STK39, BCL10, ADRB2, ABHD5, IQGAP1, STK4, MTMR6, HSD11B1, RAP1B, C3, SLC9A3R1, PPP3R1, PDCD10, STK38, GRK6, PSAP, PLCG2, MARK2, NADK, SRPK2, LYN, UBE2C, GADD45A, GADD45G, CLK1, PTPRE, PTPRC, ARL2BP, WNK1, CDK2, ID1, UNC119, GRB2, ADA, GSK3B, ADPGK, HEXB, ITGB2, PTEN, PRKAG1, LYST, HK3, PPP3CA, HHEX, GLIPR2, FLOT1, CTSH, NCK1, JAK1, CAP1, PPP1R12A, SYK, DUSP1, PLAUR, PPP2R5A, IRAK3, FGR, PLSCR1, CTDSP1, G6PDX, HCLS1, LCP2, CD44, PPP1R15B, RALB, CAB39, RPE, GNAI3, CXCR4, SGMS2, NT5C3, UGP2, SH3BP5, XDH, MAPK3, CDKN2D, PTPN1, CDKN2C, RIOK3, STAT3, CDK11B, MAPK13, STK17B, LPCAT2, ABI1, TAF7, KRAS, CDKN3	375	2869	17911	1.7813193911932148	4.232160562445131E-6	5.094012452717293E-7	4.748494495439021E-7
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	107	25.415676959619955	9.5096685489433E-10	APP, LPGAT1, NCF2, NUDT4, IGF1R, RGS2, ZFP36, IER3, SH3GLB1, MAP2K1, ACSL1, PRKCD, PPP1R42, TRIB1, EZR, CDC42SE1, SHC1, PXN, C5AR1, STK39, BCL10, ADRB2, ABHD5, IQGAP1, STK4, MTMR6, HSD11B1, RAP1B, C3, SLC9A3R1, PPP3R1, PDCD10, STK38, GRK6, PSAP, PLCG2, MARK2, NADK, SRPK2, LYN, UBE2C, GADD45A, GADD45G, CLK1, PTPRE, PTPRC, ARL2BP, WNK1, CDK2, ID1, UNC119, GRB2, ADA, GSK3B, ADPGK, HEXB, ITGB2, PTEN, PRKAG1, LYST, HK3, PPP3CA, HHEX, GLIPR2, FLOT1, CTSH, NCK1, JAK1, CAP1, PPP1R12A, SYK, DUSP1, PLAUR, PPP2R5A, IRAK3, FGR, PLSCR1, CTDSP1, G6PDX, HCLS1, LCP2, CD44, PPP1R15B, RALB, CAB39, RPE, GNAI3, CXCR4, SGMS2, NT5C3, UGP2, SH3BP5, XDH, MAPK3, CDKN2D, PTPN1, CDKN2C, RIOK3, STAT3, CDK11B, MAPK13, STK17B, LPCAT2, ABI1, TAF7, KRAS, CDKN3	375	2873	17911	1.778839308504467	4.584600728829713E-6	5.094012452717293E-7	4.748494495439021E-7
GOTERM_BP_FAT	GO:0043067~regulation of programmed cell death	68	16.152019002375297	1.8531109973712816E-9	GSK3B, BTG2, DDX3X, BTG1, NCF2, DOCK8, ZFAND6, PTEN, SLC40A1, NR3C1, IGF1R, HK3, LGALS3, ZFP36, RASSF5, CLEC5A, CTSH, NCK1, IER3, SH3GLB1, CAST, DUSP1, TSC22D3, PRKCD, PLAUR, IRAK3, PLSCR1, DNAJC5, G6PDX, TXNIP, HCLS1, CD44, TNFRSF21, CEBPB, C5AR1, CXCR4, BCL10, ADRB2, STK4, SLC9A3R1, PDCD10, CXCR2, PLCG2, XDH, MCL1, CDKN2D, LYN, SRPK2, PTPN1, GSN, GADD45A, SORT1, STAT3, G0S2, CDK11B, GADD45G, PTPRC, STK17B, ID1, PPT1, KRAS, DEGS1, RGL2, ADA, DFNA5, NFE2L2, LIMS1, GRINA	375	1498	17911	2.168131731197152	8.933808222866269E-6	8.933848118326949E-7	8.327880822186539E-7
